company,complaints,awards
"UNITED MEAT COMPANY",13,1230260.98
DRAEGER CONSTRUCTION,66,980518.1
"ENERNOC",1,924729.23
CRAZY BUFFET,17,511687.43
"TELEDEX",13,376019.07
"SOMA NETWORKS",3,344023.83
HELPING HANDS SANCTUARY,39,337102.68
"SENIOR SOLUTIONS",1,330487.6
"LIGHTNING VAN LINES",2,313687.12
BOTTLEROCK,18,281471.76
