county,PETROLEUM,CHEMICAL,RADIOLOGICAL,RAILROAD,SEWAGE,VAPOR,OTHER
Alameda,158,24,1,25,45,15,31
Contra Costa,94,14,,19,40,31,28
Marin,39,1,,,42,2,6
Napa,19,2,,,25,2,2
San Francisco,55,5,,12,19,4,12
San Mateo,51,2,,15,79,1,15
Santa Clara,71,14,1,27,48,10,22
Solano,50,6,,13,19,16,12
Sonoma,46,12,,,33,1,39
